
NOTICE: Existing SQLite export found: .sisyphus/evidence/m32-b4-fused.sqlite
        It is assumed file was previously exported from: .sisyphus/evidence/m32-b4-fused.nsys-rep
        Consider using --force-export=true if needed.

Processing [.sisyphus/evidence/m32-b4-fused.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.5.2/target-linux-x64/reports/cuda_gpu_kern_sum.py](base)... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
21.5,1605205,36,44589.0,848.0,704,537276,147006.4,vectorized_elementwise_kernel
19.6,1467348,7,209621.1,28448.0,3232,1078968,392079.4,CatArrayBatchedCopy_vectorized
16.3,1215517,258,4711.3,4304.0,2688,6496,1041.6,quantize_with_block_size
14.3,1071384,8,133923.0,1360.0,1024,1058169,373454.5,elementwise_kernel
11.2,833114,4,208278.5,275774.0,1184,280382,138093.6,distribution_elementwise_grid_stride_kernel
7.8,584060,30,19468.7,21951.5,14176,42912,6136.0,device_kernel
5.7,424541,259,1639.2,1664.0,1504,1856,89.7,block_scale_interleave_kernel
1.3,93599,15,6239.9,6304.0,5664,6400,219.4,expandInputRowsKernel
0.9,69504,15,4633.6,4960.0,1856,5088,877.9,computeStridesTmaWarpSpecializedKernel
0.7,48672,32,1521.0,1248.0,1216,4960,834.7,reduce_kernel
0.5,35264,15,2350.9,2368.0,2048,2592,125.6,fusedBuildExpertMapsSortFirstTokenKernel
0.2,18400,28,657.1,640.0,640,768,30.8,elementwise_kernel_with_index
0.0,1888,1,1888.0,1888.0,1888,1888,0.0,kernelHistogram1D
0.0,1664,1,1664.0,1664.0,1664,1664,0.0,block_scale_interleave_reverse_kernel
0.0,1184,1,1184.0,1184.0,1184,1184,0.0,unrolled_elementwise_kernel

