Generating SQLite file .sisyphus/evidence/m32-b4-fused.sqlite from .sisyphus/evidence/m32-b4-fused.nsys-rep
Processing [.sisyphus/evidence/m32-b4-fused.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.5.2/target-linux-x64/reports/nvtx_kern_sum.py](base)... 
NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,836748,836748,0,36,1605205,44589.0,848.0,704,537276,147006.4,vectorized_elementwise_kernel
,,836748,836748,0,7,1467348,209621.1,28448.0,3232,1078968,392079.4,CatArrayBatchedCopy_vectorized
,,836748,836748,0,258,1215517,4711.3,4304.0,2688,6496,1041.6,quantize_with_block_size
,,836748,836748,0,8,1071384,133923.0,1360.0,1024,1058169,373454.5,elementwise_kernel
,,836748,836748,0,4,833114,208278.5,275774.0,1184,280382,138093.6,distribution_elementwise_grid_stride_kernel
,,836748,836748,0,259,424541,1639.2,1664.0,1504,1856,89.7,block_scale_interleave_kernel
,,836748,836748,0,20,400285,20014.3,21951.5,14176,42912,6949.3,device_kernel
,,836748,836748,0,10,61983,6198.3,6303.5,5664,6400,260.4,expandInputRowsKernel
,,836748,836748,0,32,48672,1521.0,1248.0,1216,4960,834.7,reduce_kernel
,,836748,836748,0,10,44704,4470.4,4944.0,1856,5024,1051.1,computeStridesTmaWarpSpecializedKernel
,,836748,836748,0,10,23392,2339.2,2368.0,2048,2592,154.2,fusedBuildExpertMapsSortFirstTokenKernel
,,836748,836748,0,28,18400,657.1,640.0,640,768,30.8,elementwise_kernel_with_index
,,836748,836748,0,1,1888,1888.0,1888.0,1888,1888,0.0,kernelHistogram1D
,,836748,836748,0,1,1664,1664.0,1664.0,1664,1664,0.0,block_scale_interleave_reverse_kernel
,,836748,836748,0,1,1184,1184.0,1184.0,1184,1184,0.0,unrolled_elementwise_kernel
:single_tile_swiglu_fused_tactic_2,PushPop,836748,836748,1,10,183775,18377.5,18368.0,14240,22528,4169.1,device_kernel
:single_tile_swiglu_fused_tactic_2,PushPop,836748,836748,1,5,31616,6323.2,6336.0,6272,6400,53.5,expandInputRowsKernel
:single_tile_swiglu_fused_tactic_2,PushPop,836748,836748,1,5,24800,4960.0,4960.0,4800,5088,108.5,computeStridesTmaWarpSpecializedKernel
:single_tile_swiglu_fused_tactic_2,PushPop,836748,836748,1,5,11872,2374.4,2368.0,2336,2400,26.8,fusedBuildExpertMapsSortFirstTokenKernel

