
NOTICE: Existing SQLite export found: .sisyphus/evidence/m32-b4-unfused.sqlite
        It is assumed file was previously exported from: .sisyphus/evidence/m32-b4-unfused.nsys-rep
        Consider using --force-export=true if needed.

Processing [.sisyphus/evidence/m32-b4-unfused.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.5.2/target-linux-x64/reports/cuda_gpu_kern_sum.py](base)... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.0,1589046,36,44140.2,864.0,672,520541,145449.6,vectorized_elementwise_kernel
22.1,1460118,7,208588.3,28096.0,3136,1067481,387686.4,CatArrayBatchedCopy_vectorized
18.4,1214455,258,4707.2,4304.0,2656,6336,1028.0,quantize_with_block_size
12.6,831130,4,207782.5,273998.0,1184,281950,137783.4,distribution_elementwise_grid_stride_kernel
8.8,580444,30,19348.1,21264.0,14624,42464,5680.1,device_kernel
6.4,425438,259,1642.6,1696.0,1504,1920,89.8,block_scale_interleave_kernel
3.7,241855,15,16123.7,16128.0,16064,16192,31.6,doActivationKernel
1.3,88415,15,5894.3,5888.0,5568,6112,133.2,expandInputRowsKernel
1.0,64031,15,4268.7,4544.0,1856,4672,794.3,computeStridesTmaWarpSpecializedKernel
0.7,49408,32,1544.0,1248.0,1216,4992,849.6,reduce_kernel
0.5,34464,15,2297.6,2336.0,1920,2464,129.3,fusedBuildExpertMapsSortFirstTokenKernel
0.3,18688,28,667.4,672.0,640,800,34.5,elementwise_kernel_with_index
0.2,13376,7,1910.9,1248.0,1088,5408,1563.8,elementwise_kernel
0.0,1856,1,1856.0,1856.0,1856,1856,0.0,kernelHistogram1D
0.0,1632,1,1632.0,1632.0,1632,1632,0.0,block_scale_interleave_reverse_kernel
0.0,1248,1,1248.0,1248.0,1248,1248,0.0,unrolled_elementwise_kernel

