Generating SQLite file .sisyphus/evidence/pingpong-b1024-fused.sqlite from .sisyphus/evidence/pingpong-b1024-fused.nsys-rep
Processing [.sisyphus/evidence/pingpong-b1024-fused.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.5.2/target-linux-x64/reports/nvtx_kern_sum.py](base)... 
NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,553815,553815,0,20,2531522,126576.1,126075.0,91164,175674,34464.3,device_kernel
,,553815,553815,0,36,1595621,44322.8,848.0,704,529804,146003.2,vectorized_elementwise_kernel
,,553815,553815,0,7,1468361,209765.9,29759.0,3232,1080248,392605.9,CatArrayBatchedCopy_vectorized
,,553815,553815,0,258,1218806,4724.1,4447.5,2688,6560,1042.3,quantize_with_block_size
,,553815,553815,0,8,1092248,136531.0,1552.0,1216,1078040,380429.6,elementwise_kernel
,,553815,553815,0,4,838465,209616.3,275846.0,5024,281749,136425.2,distribution_elementwise_grid_stride_kernel
,,553815,553815,0,259,425330,1642.2,1695.0,1504,1888,87.5,block_scale_interleave_kernel
,,553815,553815,0,10,279190,27919.0,28095.0,26591,28575,539.1,expandInputRowsKernel
,,553815,553815,0,10,54591,5459.1,5888.0,1888,6048,1272.4,computeStridesTmaWarpSpecializedKernel
,,553815,553815,0,32,51038,1594.9,1248.0,1215,4960,894.0,reduce_kernel
,,553815,553815,0,10,28953,2895.3,2848.0,2814,3136,101.7,blockExpertPrefixSumKernel
,,553815,553815,0,28,18463,659.4,640.0,607,800,36.3,elementwise_kernel_with_index
,,553815,553815,0,10,12928,1292.8,1280.0,1088,1472,96.8,mergeExpertPrefixSumKernel
,,553815,553815,0,10,10816,1081.6,1088.0,1056,1120,25.2,globalExpertPrefixSumKernel
,,553815,553815,0,1,2688,2688.0,2688.0,2688,2688,0.0,unrolled_elementwise_kernel
,,553815,553815,0,1,2208,2208.0,2208.0,2208,2208,0.0,kernelHistogram1D
,,553815,553815,0,1,1664,1664.0,1664.0,1664,1664,0.0,block_scale_interleave_reverse_kernel
:single_tile_swiglu_fused_tactic_0,PushPop,553815,553815,1,10,1266738,126673.8,125580.0,92221,164985,34940.5,device_kernel
:single_tile_swiglu_fused_tactic_0,PushPop,553815,553815,1,5,140122,28024.4,27998.0,27807,28351,214.0,expandInputRowsKernel
:single_tile_swiglu_fused_tactic_0,PushPop,553815,553815,1,5,29374,5874.8,5887.0,5663,6112,195.7,computeStridesTmaWarpSpecializedKernel
:single_tile_swiglu_fused_tactic_0,PushPop,553815,553815,1,5,14396,2879.2,2879.0,2847,2911,31.8,blockExpertPrefixSumKernel
:single_tile_swiglu_fused_tactic_0,PushPop,553815,553815,1,5,6432,1286.4,1344.0,1056,1376,130.8,mergeExpertPrefixSumKernel
:single_tile_swiglu_fused_tactic_0,PushPop,553815,553815,1,5,5343,1068.6,1056.0,1056,1088,17.3,globalExpertPrefixSumKernel

