
NOTICE: Existing SQLite export found: /code/tensorrt_llm/.sisyphus/evidence/task-7-single-tile-unfused.sqlite
        It is assumed file was previously exported from: /code/tensorrt_llm/.sisyphus/evidence/task-7-single-tile-unfused.nsys-rep
        Consider using --force-export=true if needed.

Processing [/code/tensorrt_llm/.sisyphus/evidence/task-7-single-tile-unfused.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2025.5.2/target-linux-x64/reports/nvtx_kern_sum.py](base)... 
NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,532771,532771,0,20,2377102,118855.1,119139.5,75043,158181,35793.7,device_kernel
,,532771,532771,0,36,1609462,44707.3,832.0,672,536945,147366.0,vectorized_elementwise_kernel
,,532771,532771,0,7,1482320,211760.0,28801.0,3232,1093667,397714.0,CatArrayBatchedCopy_vectorized
,,532771,532771,0,258,1222350,4737.8,4592.5,2688,6433,1001.0,quantize_with_block_size
,,532771,532771,0,4,833946,208486.5,274136.5,3840,281833,136488.7,distribution_elementwise_grid_stride_kernel
,,532771,532771,0,259,424494,1639.0,1696.0,1504,1856,89.6,block_scale_interleave_kernel
,,532771,532771,0,10,186248,18624.8,18672.5,18177,18913,190.2,expandInputRowsKernel
,,532771,532771,0,10,134371,13437.1,13168.5,11744,15105,968.4,doActivationKernel
,,532771,532771,0,32,49728,1554.0,1216.0,1216,5024,883.5,reduce_kernel
,,532771,532771,0,10,45825,4582.5,4880.0,1856,5024,962.0,computeStridesTmaWarpSpecializedKernel
,,532771,532771,0,10,23512,2351.2,2304.0,2271,2527,89.4,blockExpertPrefixSumKernel
,,532771,532771,0,28,18305,653.8,640.0,608,769,33.2,elementwise_kernel_with_index
,,532771,532771,0,7,14336,2048.0,1536.0,1216,5408,1496.0,elementwise_kernel
,,532771,532771,0,10,12384,1238.4,1232.0,992,1376,114.9,mergeExpertPrefixSumKernel
,,532771,532771,0,10,11616,1161.6,1056.0,1056,1568,182.9,globalExpertPrefixSumKernel
,,532771,532771,0,1,2784,2784.0,2784.0,2784,2784,0.0,unrolled_elementwise_kernel
,,532771,532771,0,1,2144,2144.0,2144.0,2144,2144,0.0,kernelHistogram1D
,,532771,532771,0,1,1633,1633.0,1633.0,1633,1633,0.0,block_scale_interleave_reverse_kernel
:single_tile_swiglu_unfused_tactic_0,PushPop,532771,532771,1,10,1180805,118080.5,118900.0,82978,152453,35281.1,device_kernel
:single_tile_swiglu_unfused_tactic_0,PushPop,532771,532771,1,5,94371,18874.2,18817.0,18784,19041,104.8,expandInputRowsKernel
:single_tile_swiglu_unfused_tactic_0,PushPop,532771,532771,1,5,70242,14048.4,13856.0,13057,15200,824.5,doActivationKernel
:single_tile_swiglu_unfused_tactic_0,PushPop,532771,532771,1,5,25697,5139.4,5152.0,4993,5312,122.8,computeStridesTmaWarpSpecializedKernel
:single_tile_swiglu_unfused_tactic_0,PushPop,532771,532771,1,5,11836,2367.2,2335.0,2303,2559,108.4,blockExpertPrefixSumKernel
:single_tile_swiglu_unfused_tactic_0,PushPop,532771,532771,1,5,6176,1235.2,1216.0,992,1536,195.4,mergeExpertPrefixSumKernel
:single_tile_swiglu_unfused_tactic_0,PushPop,532771,532771,1,5,5280,1056.0,1056.0,1056,1056,0.0,globalExpertPrefixSumKernel

